YEAR,Filename,ORG_TYPE_DESCRIPTION,ORG_CODE,NEW_CODE,ORG_TITLE,SEX_CODE,OBS,DSR,LOWER,UPPER
2017,17B_040DR00++,"NATIONAL","E&W","K04000001","England and Wales",F,2170,2.49,2.39,2.6
2017,17B_040DR00++,"NATIONAL","ENG","E92000001","England",F,2015,2.45,2.34,2.56
2017,17B_040DR00++,"REGIONS","A","E12000001","North East",F,125,3.13,2.61,3.74
2017,17B_040DR00++,"REGIONS","B","E12000002","North West",F,340,3.16,2.83,3.52
2017,17B_040DR00++,"REGIONS","D","E12000003","Yorkshire and The Humber",F,210,2.61,2.27,2.99
2017,17B_040DR00++,"REGIONS","E","E12000004","East Midlands",F,205,2.82,2.45,3.24
2017,17B_040DR00++,"REGIONS","F","E12000005","West Midlands",F,210,2.45,2.12,2.8
2017,17B_040DR00++,"REGIONS","G","E12000006","East of England",F,195,2.04,1.76,2.35
2017,17B_040DR00++,"REGIONS","H","E12000007","London",F,230,2.25,1.97,2.57
2017,17B_040DR00++,"REGIONS","J","E12000008","South East",F,295,2.11,1.87,2.37
2017,17B_040DR00++,"REGIONS","K","E12000009","South West",F,205,2.25,1.95,2.59
2017,17B_040DR00++,"COUNTIES (boundaries as of April 2009)","01","E12000007","Greater London",F,230,2.25,1.97,2.57
2017,17B_040DR00++,"COUNTIES (boundaries as of April 2009)","02","E11000001","Greater Manchester (Met County)",F,130,3.37,2.81,4.01
2017,17B_040DR00++,"COUNTIES (boundaries as of April 2009)","03","E11000002","Merseyside (Met County)",F,75,3.45,2.71,4.34
2017,17B_040DR00++,"COUNTIES (boundaries as of April 2009)","04","E11000003","South Yorkshire (Met County)",F,55,2.65,1.98,3.47
2017,17B_040DR00++,"COUNTIES (boundaries as of April 2009)","05","E11000007","Tyne and Wear (Met County)",F,45,2.52,1.82,3.4
2017,17B_040DR00++,"COUNTIES (boundaries as of April 2009)","06","E11000005","West Midlands (Met County)",F,90,2.34,1.88,2.87
2017,17B_040DR00++,"COUNTIES (boundaries as of April 2009)","07","E11000006","West Yorkshire (Met County)",F,95,2.94,2.37,3.61
2017,17B_040DR00++,"COUNTIES (boundaries as of April 2009)","11","E10000002","Buckinghamshire CC",F,10,1.44,0.74,2.52
2017,17B_040DR00++,"COUNTIES (boundaries as of April 2009)","12","E10000003","Cambridgeshire CC",F,20,2.24,1.38,3.43
2017,17B_040DR00++,"COUNTIES (boundaries as of April 2009)","16","E10000006","Cumbria CC",F,20,2.45,1.48,3.81
2017,17B_040DR00++,"COUNTIES (boundaries as of April 2009)","17","E10000007","Derbyshire CC",F,30,2.5,1.7,3.54
2017,17B_040DR00++,"COUNTIES (boundaries as of April 2009)","18","E10000008","Devon CC",F,30,2.31,1.55,3.32
2017,17B_040DR00++,"COUNTIES (boundaries as of April 2009)","19","E10000009","Dorset CC",F,15,1.79,0.89,3.16
2017,17B_040DR00++,"COUNTIES (boundaries as of April 2009)","21","E10000011","East Sussex CC",F,15,2.09,1.2,3.38
2017,17B_040DR00++,"COUNTIES (boundaries as of April 2009)","22","E10000012","Essex CC",F,45,1.98,1.44,2.64
2017,17B_040DR00++,"COUNTIES (boundaries as of April 2009)","23","E10000013","Gloucestershire CC",F,20,2.2,1.36,3.34
2017,17B_040DR00++,"COUNTIES (boundaries as of April 2009)","24","E10000014","Hampshire CC",F,40,1.73,1.23,2.36
2017,17B_040DR00++,"COUNTIES (boundaries as of April 2009)","26","E10000015","Hertfordshire CC",F,35,2.04,1.42,2.84
2017,17B_040DR00++,"COUNTIES (boundaries as of April 2009)","29","E10000016","Kent CC",F,60,2.52,1.92,3.24
2017,17B_040DR00++,"COUNTIES (boundaries as of April 2009)","30","E10000017","Lancashire CC",F,55,2.94,2.2,3.84
2017,17B_040DR00++,"COUNTIES (boundaries as of April 2009)","31","E10000018","Leicestershire CC",F,25,2.39,1.56,3.51
2017,17B_040DR00++,"COUNTIES (boundaries as of April 2009)","32","E10000019","Lincolnshire CC",F,45,3.6,2.61,4.82
2017,17B_040DR00++,"COUNTIES (boundaries as of April 2009)","33","E10000020","Norfolk CC",F,30,1.91,1.29,2.73
2017,17B_040DR00++,"COUNTIES (boundaries as of April 2009)","34","E10000021","Northamptonshire CC",F,40,3.81,2.74,5.15
2017,17B_040DR00++,"COUNTIES (boundaries as of April 2009)","36","E10000023","North Yorkshire CC",F,15,1.61,0.9,2.62
2017,17B_040DR00++,"COUNTIES (boundaries as of April 2009)","37","E10000024","Nottinghamshire CC",F,35,2.66,1.85,3.71
2017,17B_040DR00++,"COUNTIES (boundaries as of April 2009)","38","E10000025","Oxfordshire CC",F,20,2.18,1.36,3.31
2017,17B_040DR00++,"COUNTIES (boundaries as of April 2009)","40","E10000027","Somerset CC",F,25,2.28,1.42,3.45
2017,17B_040DR00++,"COUNTIES (boundaries as of April 2009)","41","E10000028","Staffordshire CC",F,40,2.92,2.07,4
2017,17B_040DR00++,"COUNTIES (boundaries as of April 2009)","42","E10000029","Suffolk CC",F,25,1.95,1.25,2.89
2017,17B_040DR00++,"COUNTIES (boundaries as of April 2009)","43","E10000030","Surrey CC",F,30,1.61,1.08,2.29
2017,17B_040DR00++,"COUNTIES (boundaries as of April 2009)","44","E10000031","Warwickshire CC",F,25,2.86,1.84,4.23
2017,17B_040DR00++,"COUNTIES (boundaries as of April 2009)","45","E10000032","West Sussex CC",F,30,2.13,1.42,3.06
2017,17B_040DR00++,"COUNTIES (boundaries as of April 2009)","47","E10000034","Worcestershire CC",F,15,1.79,1.04,2.88
2017,17B_040DR00++,"LOCAL AUTHORITIES (boundaries as of April 2009)","00AA","E09000001","City of London LB",F,5,,,
2017,17B_040DR00++,"LOCAL AUTHORITIES (boundaries as of April 2009)","00AB","E09000002","Barking and Dagenham LB",F,5,,,
2017,17B_040DR00++,"LOCAL AUTHORITIES (boundaries as of April 2009)","00AC","E09000003","Barnet LB",F,5,,,
2017,17B_040DR00++,"LOCAL AUTHORITIES (boundaries as of April 2009)","00AD","E09000004","Bexley LB",F,10,2.76,1.31,5.09
2017,17B_040DR00++,"LOCAL AUTHORITIES (boundaries as of April 2009)","00AE","E09000005","Brent LB",F,5,,,
2017,17B_040DR00++,"LOCAL AUTHORITIES (boundaries as of April 2009)","00AF","E09000006","Bromley LB",F,5,,,
2017,17B_040DR00++,"LOCAL AUTHORITIES (boundaries as of April 2009)","00AG","E09000007","Camden LB",F,5,,,
2017,17B_040DR00++,"LOCAL AUTHORITIES (boundaries as of April 2009)","00AH","E09000008","Croydon LB",F,10,2.1,1.03,3.79
2017,17B_040DR00++,"LOCAL AUTHORITIES (boundaries as of April 2009)","00AJ","E09000009","Ealing LB",F,10,2.24,1,4.28
2017,17B_040DR00++,"LOCAL AUTHORITIES (boundaries as of April 2009)","00AK","E09000010","Enfield LB",F,15,3.14,1.69,5.29
2017,17B_040DR00++,"LOCAL AUTHORITIES (boundaries as of April 2009)","00AL","E09000011","Greenwich LB",F,10,3.26,1.42,6.31
2017,17B_040DR00++,"LOCAL AUTHORITIES (boundaries as of April 2009)","00AM","E09000012","Hackney LB",F,10,4.59,2.09,8.52
2017,17B_040DR00++,"LOCAL AUTHORITIES (boundaries as of April 2009)","00AN","E09000013","Hammersmith and Fulham LB",F,5,,,
2017,17B_040DR00++,"LOCAL AUTHORITIES (boundaries as of April 2009)","00AP","E09000014","Haringey LB",F,10,3.45,1.53,6.63
2017,17B_040DR00++,"LOCAL AUTHORITIES (boundaries as of April 2009)","00AQ","E09000015","Harrow LB",F,5,,,
2017,17B_040DR00++,"LOCAL AUTHORITIES (boundaries as of April 2009)","00AR","E09000016","Havering LB",F,5,,,
2017,17B_040DR00++,"LOCAL AUTHORITIES (boundaries as of April 2009)","00AS","E09000017","Hillingdon LB",F,10,2.23,0.94,4.42
