YEAR,Filename,ORG_TYPE_DESCRIPTION,ORG_CODE,NEW_CODE,ORG_TITLE,SEX_CODE,OBS,DSR,LOWER,UPPER
2017,18B_148DR00++,"NATIONAL","E&W","K04000001","England and Wales",M,31765,48.05,47.51,48.59
2017,18B_148DR00++,"NATIONAL","ENG","E92000001","England",M,30000,48.21,47.66,48.77
2017,18B_148DR00++,"REGIONS","A","E12000001","North East",M,1540,49.59,47.06,52.22
2017,18B_148DR00++,"REGIONS","B","E12000002","North West",M,3850,47.5,45.97,49.07
2017,18B_148DR00++,"REGIONS","D","E12000003","Yorkshire and The Humber",M,3025,49.83,48.02,51.68
2017,18B_148DR00++,"REGIONS","E","E12000004","East Midlands",M,2660,48.38,46.52,50.3
2017,18B_148DR00++,"REGIONS","F","E12000005","West Midlands",M,3140,47.21,45.53,48.93
2017,18B_148DR00++,"REGIONS","G","E12000006","East of England",M,3830,50.39,48.78,52.04
2017,18B_148DR00++,"REGIONS","H","E12000007","London",M,2800,42.55,40.96,44.18
2017,18B_148DR00++,"REGIONS","J","E12000008","South East",M,5335,48.41,47.1,49.74
2017,18B_148DR00++,"REGIONS","K","E12000009","South West",M,3815,49.96,48.37,51.59
2017,18B_148DR00++,"COUNTIES (boundaries as of April 2009)","01","E12000007","Greater London",M,2800,42.55,40.96,44.18
2017,18B_148DR00++,"COUNTIES (boundaries as of April 2009)","02","E11000001","Greater Manchester (Met County)",M,1260,47.61,44.94,50.39
2017,18B_148DR00++,"COUNTIES (boundaries as of April 2009)","03","E11000002","Merseyside (Met County)",M,805,50.03,46.53,53.72
2017,18B_148DR00++,"COUNTIES (boundaries as of April 2009)","04","E11000003","South Yorkshire (Met County)",M,705,45.81,42.42,49.39
2017,18B_148DR00++,"COUNTIES (boundaries as of April 2009)","05","E11000007","Tyne and Wear (Met County)",M,630,50.37,46.39,54.6
2017,18B_148DR00++,"COUNTIES (boundaries as of April 2009)","06","E11000005","West Midlands (Met County)",M,1365,47.78,45.23,50.43
2017,18B_148DR00++,"COUNTIES (boundaries as of April 2009)","07","E11000006","West Yorkshire (Met County)",M,1150,51.32,48.31,54.46
2017,18B_148DR00++,"COUNTIES (boundaries as of April 2009)","11","E10000002","Buckinghamshire CC",M,290,45.72,40.5,51.4
2017,18B_148DR00++,"COUNTIES (boundaries as of April 2009)","12","E10000003","Cambridgeshire CC",M,375,49.99,45,55.38
2017,18B_148DR00++,"COUNTIES (boundaries as of April 2009)","16","E10000006","Cumbria CC",M,330,46.22,41.25,51.61
2017,18B_148DR00++,"COUNTIES (boundaries as of April 2009)","17","E10000007","Derbyshire CC",M,490,48.07,43.78,52.65
2017,18B_148DR00++,"COUNTIES (boundaries as of April 2009)","18","E10000008","Devon CC",M,635,51.65,47.65,55.88
2017,18B_148DR00++,"COUNTIES (boundaries as of April 2009)","19","E10000009","Dorset CC",M,375,46.95,42.27,51.99
2017,18B_148DR00++,"COUNTIES (boundaries as of April 2009)","21","E10000011","East Sussex CC",M,455,49.71,45.21,54.53
2017,18B_148DR00++,"COUNTIES (boundaries as of April 2009)","22","E10000012","Essex CC",M,910,48.66,45.5,51.99
2017,18B_148DR00++,"COUNTIES (boundaries as of April 2009)","23","E10000013","Gloucestershire CC",M,395,48.76,44,53.88
2017,18B_148DR00++,"COUNTIES (boundaries as of April 2009)","24","E10000014","Hampshire CC",M,910,49.64,46.42,53.01
2017,18B_148DR00++,"COUNTIES (boundaries as of April 2009)","26","E10000015","Hertfordshire CC",M,610,47.3,43.56,51.26
2017,18B_148DR00++,"COUNTIES (boundaries as of April 2009)","29","E10000016","Kent CC",M,1015,53.28,50,56.72
2017,18B_148DR00++,"COUNTIES (boundaries as of April 2009)","30","E10000017","Lancashire CC",M,650,43.73,40.34,47.33
