Clinical Commissioning Group Name (2015),Health Deprivation and Disability - Average rank,Health Deprivation and Disability - Rank of average rank,Health Deprivation and Disability - Average score,Health Deprivation and Disability - Rank of average score,Health Deprivation and Disability - Proportion of LSOAs in most deprived 10% nationally,Health Deprivation and Disability - Rank of proportion of LSOAs in most deprived 10% nationally,Clinical Commissioning Group Code (2015)
"NHS Airedale, Wharfedale and Craven CCG",16447.91,109,0.021,108,0.0928,77,E38000001
NHS Ashford CCG,9408.63,174,-0.59,174,0,158,E38000002
NHS Aylesbury Vale CCG,6263.75,198,-0.994,198,0,158,E38000003
NHS Barking and Dagenham CCG,21520.08,54,0.373,61,0.0091,143,E38000004
NHS Barnet CCG,8395.25,184,-0.727,183,0,158,E38000005
NHS Barnsley CCG,25682.46,19,0.832,20,0.3129,23,E38000006
NHS Basildon and Brentwood CCG,11382.98,160,-0.505,167,0.0128,135,E38000007
NHS Bassetlaw CCG,20567.62,62,0.364,63,0.1143,66,E38000008
NHS Bath and North East Somerset CCG,10150.83,171,-0.537,169,0.0174,123,E38000009
NHS Bedfordshire CCG,10126.79,172,-0.548,171,0.0077,146,E38000010
NHS Bexley CCG,9044.84,179,-0.639,177,0,158,E38000011
NHS Birmingham CrossCity CCG,23039.27,42,0.555,39,0.1713,41,E38000012
NHS Birmingham South and Central CCG,23732.35,32,0.603,35,0.1565,47,E38000013
NHS Blackburn with Darwen CCG,26242.72,14,1.022,9,0.4945,7,E38000014
NHS Blackpool CCG,29545.94,3,1.489,2,0.5851,6,E38000015
NHS Bolton CCG,23743.51,30,0.672,29,0.226,32,E38000016
NHS Bracknell and Ascot CCG,7107.26,195,-0.941,197,0,158,E38000017
NHS Bradford City CCG,28708.73,7,1.138,7,0.4186,12,E38000018
NHS Bradford Districts CCG,23704.79,33,0.623,34,0.1709,42,E38000019
NHS Brent CCG,13533.39,132,-0.227,131,0.0058,150,E38000020
NHS Brighton and Hove CCG,19252.62,80,0.278,75,0.1394,54,E38000021
NHS Bristol CCG,19908.3,74,0.315,70,0.1217,60,E38000022
NHS Bromley CCG,8075.37,188,-0.779,188,0.0051,154,E38000023
NHS Bury CCG,20677.24,61,0.378,58,0.1167,63,E38000024
NHS Calderdale CCG,19826.79,75,0.293,74,0.125,58,E38000025
NHS Cambridgeshire and Peterborough CCG,12247.64,151,-0.409,155,0.0217,120,E38000026
NHS Camden CCG,16600.65,107,-0.023,112,0.0226,117,E38000027
NHS Cannock Chase CCG,18131.8,89,0.13,93,0.0366,103,E38000028
NHS Canterbury and Coastal CCG,14307.68,127,-0.169,127,0.0168,124,E38000029
NHS Castle Point and Rochford CCG,9046.61,178,-0.63,176,0,158,E38000030
NHS Central London (Westminster) CCG,12423.32,148,-0.499,166,0.0426,99,E38000031
NHS Central Manchester CCG,29771.22,2,1.366,6,0.6813,2,E38000032
NHS Chiltern CCG,3213.39,208,-1.508,208,0,158,E38000033
NHS Chorley and South Ribble CCG,19980.7,72,0.304,73,0.1176,62,E38000034
NHS City and Hackney CCG,22539.83,46,0.463,50,0.0733,86,E38000035
NHS Corby CCG,23232.21,38,0.579,37,0.1951,38,E38000037
NHS Coventry and Rugby CCG,19749.11,76,0.312,71,0.1406,53,E38000038
NHS Crawley CCG,13176.69,136,-0.293,137,0,158,E38000039
